Session Title	Session Level	Session Abstract
Practical Machine Learning – Recommender Engine and Anomaly Detection	100	Machine learning is often perceived to be a daunting topic, when in fact its concepts are fairly intuitive and easy to use. This session will introduce nuML machine learning library basics, and will thus address the clustering issue in .NET applications by focusing on the practical real-world applications of recommendation engines and anomaly detection. At the conclusion of this session, attendees will be able to immediately use their unlabeled data to create powerful models for predicting the future based on the past. 
Machine Learning – Supervised Learning	200	This session will delve into three important supervised learning algorithms, Perceptron, Decision Trees, and Naïve Bayes, designed to aid in the prediction process. Attendees will walk away with a firm grasp of how these algorithms function in the context of the nuML Machine Learning Library, together with application methods for their current software of choice. (This talk is more on the theoretical side.)
Machine Learning – Unsupervised Learning	200	This session will delve into three important unsupervised learning algorithms, K-Means, Hierarchical Clustering, and Gaussian Mixture Model, which are designed to aid in the clustering process. Attendees will walk away with a firm grasp of how these algorithms function in the context of the nuML Machine Learning Library and how they can apply these algorithms in their current software of choice. (This talk is more on the theoretical side.)
Practical Machine Learning – Predicting Things	100	Machine learning is one of the newest tools in a Data Scientist’s arsenal. In this session attendees will learn practical approaches to solving the prediction problem through an interactive demonstration of various popular machine learning algorithms.
Principles of Modern Data Visualization	100	Data visualizations are intended for summarizing complex information into visually digestible bites in an aesthetically pleasing way; getting them right is difficult work. This session will introduce developers to certain important principles that govern great data visualizations through an example-based collaborative discussion. 
Faking it With Data	100	In this session attendees will learn how to auto-generate realistic data as a basis for visualizing and testing their applications. Topics will include random number generation, probability, and distributions all as a backbone to the data generation process.
Scrum or Kanban, Whats the Difference?	200	Most of us are familiar with Scrum already. Some of you may be aware of the new trend to adopt Lean techniques, specifically Kanban. Often Kanban is presented as an alternative to Scrum. In this session we’ll take a look at what this Kanban thing is all about; specifically comparing it to Scrum. How is it different than Scrum? What does it do better or worse? When should you consider Kanban or Scrum for your team? Even when and why you may want to use them both at the same time.
Intro to CQRS and Event Sourcing Distributed Architecture Patterns	300	CQRS (Command Query Responsibility Segregation) and Event Sourcing are two distributed architecture patterns that when combined produce a very compelling architecture for a lot of problems that we as software developers face on a regular basis. Why do we insist on using the same data model to service both the transactional portion of our software and the queries/read portion? We typically only store the current state of our entities, what happens when the business wants to do some analysis on *why* the data is what it is?  The CQRS + Event Sourcing patterns attempt to address these concerns and provide a number of other valuable benefits, both technical benefits, but more importantly business benefits that translate directly into business value for your organization.
Evolve Your Code: Fundamental Design Principles	300	If I could travel back in time and give the rookie developer version of myself an hour of advice, this session will be that advice. I'm specifically focusing on advice that will help us write better code. I've written a lot of horrible code in my career, and learned a lot of lessons in the process. In my day job I also get the opportunity to look at a lot of other teams code, and help them clean it up. Over my career I've gotten a pretty good idea of what I believe are the most important lessons when learning to write "good" code. And here's a hint, it's not neatly captured in the SOLID set of principles that seem to be so popular at conferences these days.  Expect a lot of examples and concrete advice that you can take away and start applying immediately to improve your code.
CodedUI: The Good Parts	300	After years of working with development teams trying to leverage CodedUI for UI Automation testing, we’ve learned a lot about what works and what doesn’t.  In this session I’ll share some of the learnings about how to use CodedUI most effectively to create UI Automation Test Suites for your large enterprise applications.  The typical approach with CodedUI using UIMaps – while it looks great in demo’s – has challenges scaling to real-world large enterprise applications.  I’ll share with you how I use CodedUI in a code-first approach - with no UI Maps – to create effective, and most importantly maintainable test frameworks for large applications.  In addition we’ll look at how CodedUI Tests integrate into the MS ALM tooling, including remote execution from Microsoft Test Manager, and integration with TFS Builds.
Delivering High Quality Code Using Visual Studio	300	Teams delivering high-quality software tend to have some common practices and tools that they use. In this session I’ll share what I’ve learned working with many mature teams that deliver high-quality software, and also time spent working with problematic code-bases trying to improve the quality in an incremental fashion.  There are many tools available in Visual Studio, and some 3rd party tools that can help development teams in this area.  Some of these you’ll probably be familiar with, and some of these may be new to you.  Tools such as Static Analysis tools, Architectural Validation Tools (e.g. Layer Diagrams), Code Clone Analysis, etc.  In this session I’ll take you on a tour of the tools I use most often, and give some lessons learned and tips and tricks about how to apply them most effectively to improve your code-base.
Beyond Cortana & Siri: Using Speech Recognition & Synthesis for the Next Generation of Mobile Apps	300	Our society has a problem. Individuals are hooked on apps, phones, tablets and social networking. We created these devices and these apps that have become a core part of our lives but we stopped short. We failed to recognize some of the problematic situations where our apps are used. People are texting, emailing and chatting while driving. Pedestrians walk into busy intersections and into sidewalk hazards because they refuse to put their phone down. We cannot entirely blame them. We created a mobile revolution, and now we just can’t simply ask them to put it on hold when it’s not convenient. It’s almost an addiction and too often it has led to fatal results.  Furthermore, mobile applications are not always easy to work with due to the small screen and on-screen keyboard. Other people struggle to use traditional computing devices due to handicaps. Using our voice is a natural form of communication amongst humans. Ever since 2001: A Space Odyssey, we’ve been dreaming of computers who can converse with us like HAL9000 or the Star Trek computers. Or maybe you’re part of the new generation of geeks dreaming of Halo’s Cortana? Thanks to the new advances and SDKs for speech recognition and synthesis (aka text-to-speech), we are now several steps closer to this reality. Siri is not the end game, she’s the beginning. This session explores the design models and development techniques you can use to add voice recognition to your mobile applications, including in-app commands, standard & custom grammars, and voice commands usable outside your app. We’ll also see how your apps can respond to the user via speech synthesis, opening-up a new world of hands-free scenarios. This reality is here, you’ll see actual live cross-platform demos with speech and you can now learn how to do it. Speech support is not just cool or a convenience, it should be a necessity in many apps.
Building Universal Windows Apps for Smartphones and Tablets with XAML & C#	200	This session is your fast track into the wonderful new world of app development for Windows device. Come learn how your valuable C# skills now make you a hot mobile developer for smartphones, tablets, laptops and desktops. We’ll perform a quick lap around Microsoft Visual Studio 2013 and the new Windows Universal Apps, build our first app using XAML & C#, and debug it with Windows 8.1 and the Windows Phone Emulator. We’ll then explore the converged WinRT API services and features, such as touch input, accelerometers, Live Tiles, etc. We’ll also spend valuable time going over the new app model for Windows device apps, how to share code between phone and tablet, and how to build a converged UI in XAML for Windows 8.1 and Windows Phone. Lastly we’ll go over the app packaging and how to submit your Universal apps to the Windows Store. The converged Windows Platform is more efficient and far-reaching than ever. Come learn how to build mobile apps for hundreds of millions of Windows device users.
Build Your First Mobile App in 1 hour with Microsoft App Studio	200	Microsoft App Studio is an innovative new tool to design and build a starter app for Windows Phone and Windows Store without writing any code. Whether you’re a mobile development neophyte or a savvy developer filled with great ideas but not enough time to prototype them, App Studio can help you get started by building the core of your application using multiple page templates and data sources, such as RSS feeds, YouTube videos, Flickr photos, HTML content, custom collections and more. In this session, we’ll build a live & working mobile app for both Windows Phone and Windows Store on the fly, exploring the various options of App Studio. We’ll then generate the source code and dive into Visual Studio to understand the various parts produced by App Studio and how to extend them. We’ll discuss how to add custom features to the starter app, turning our prototype into a real-world app, such as advertising, in-app purchasing and such. Lastly we’ll go over what’s involved to get the app published, how the submission process works, and where to take your app from there. If you still haven’t published any mobile apps, it doesn’t get any easier than with App Studio. Come learn how to get from “Idea” to “Publish” in just a few hours.
From Prototype to the Store – Publishing Real-World Mobile Apps	200	Windows Phone development is highly productive, relatively easy and fun. If you’re already a .NET developer, you can get up and running with the Windows Phone SDK pretty fast. The same goes for Windows. Android is a different animal but still approachable. iOS has a steeper learning curve for the .NET folks, but many devs started their mobile development there. Maybe you’ve already even built a prototype or two. Stuff runs. You deploy it to your phone. Ready to publish, right? Wrong. There’s a difference between a functional prototype and a final store-ready app. This session explores recommendations and best practices to turn your fledgling app into a real professional submission. We’ll look at the user experience, the “About” page, tracking the update history, getting feedback from users, driving reviews, providing help, iconography, sharing your app and more. We’ll also go over monetization strategies and how to rely on in-app purchases & advertising, trials and paid/free apps. With hundreds of thousands of apps to compete with, you need to go above and beyond to impress your users. Come learn how to do it for a maximum impact in a session packed with tips, tricks, do’s and don’ts. While many of the demos in this session apply for Windows Phone and Windows, this session also includes content for iOS and Android developers.
Building Windows Phone Apps with Maps, Location Services & Geofencing	300	This session will not teach you why we are on Earth, but it will teach you how to find out where we are on it. Looking for the user? Find the phone. Thanks to standard built-in Location Services and hybrid positioning hardware, every Windows Phone knows where it is. In this session, ActiveNick shows you how to build a truly “smart” phone application by adding Location Intelligence Services (LIS) to it. Using Microsoft Visual Studio, the Windows Phones SDK and other geospatial APIs from Nokia and Bing Maps, you will learn how to locate the device in the world using the phone GPS and other Location Services, display maps and manipulate them with touch gestures, geocode addresses into lat/long pairs, and display the results on a map using pushpins, UI elements and more. We’ll also discuss geofencing and location-based triggers, as well as background location tracking apps. We’ll discuss the various mapping technologies, SDKs and APIs in the GIS world and explore how Windows Phone apps can participate in geospatial circles. Location Intelligence is a natural extension of mobility: Come learn how it’s done.
Building Multi-Platform Mobile Apps with Push Notifications & Cloud Services	300	The best mobile applications don’t live in a vacuum. They are augmented by dedicated servers, the Internet and Cloud services. While it’s one thing to reach out to server-side services from a mobile application, it’s a completely different affair when the tables are turned and the server needs to reach the phone. Enter push notifications. From iOS to Android, Windows Phone and Windows 8, discover how to send push notifications from cloud-hosted services to a mobile app running on a tablet or phone, and learn how to handle those alerts in your mobile app. We’ll discuss the various push notification services from Microsoft, Apple and Google, how to leverage them in your mobile applications, how to deal with push scenarios for any given multi-platform app, and we’ll also look at Notification Hubs that can let you push millions of notifications with just a few lines of code. The live demos showcase a real-world app designed for Windows Phone, Windows, iOS and Android.
When to NoSQL and when to Know SQL	100	With NoSQL, NewSQL and plain old SQL, there are so many tools around it’s not always clear which is the right one for the job.  This is a look at a series of NoSQL technologies, comparing them against traditional SQL technology. I’ll compare real use cases and show how they are solved with both NoSQL options, and traditional SQL servers, and then see who wins.   We’ll look at some code and architecture examples that fit a variety of NoSQL techniques, and some where SQL is a better answer. We’ll see some big data problems, little data problems, and a bunch of new and old database technologies to find whatever it takes to solve the problem.  By the end you’ll hopefully know more NoSQL, and maybe even have a few new tricks with SQL, and what’s more how to choose the right tool for the job.
MongoDB or the C# developer	100	Don't miss the NoSQL revolution!  A practical introduction to MongoDB, what it’s all about, why you should consider using it, and how to use it with your C# applications. MongoDB is the most widely used NoSQL document database, and supports a wide range of use cases and features.  This talk will be full of real examples, key gotchas you might face with real world Mongo development, and a good look at a powerful, fast new document database option from a .NET perspective.
Get you Big Data on with HDInsight	200	HDInsight is Microsoft’s Hadoop offering hosted in the Azure cloud.   This session is a quick introduction to HDInsight, and a guide to some of the features you get and where to find them. We’ll look at how you create and manage clusters and how to get data sets into the system, and some basic querying with Hive and Pig.  We'll also introduce ways to make the best of existing SQL, .NET or Java skills in the brave new world of distributed computing and Big Data with Hadoop.
Riding the Elephant: Hadoop 2.0	200	Hadoop is about much more than MapReduce these days.   This session introduces the power of YARN and how you can write applications on top of it, as well as some of the new capabilities it brings to Hadoop which make it a powerful operating systems for your data.  We will cover both what the community is doing, and how established tools like Hive and MapReduce have benefitted from YARN, as well as how you can use this new platform to write and deploy new kinds of applications on a Hadoop cluster.  We'll also take a look at new execution frameworks appearing around Hadoop, and runaway successes like Spark. 
Loose-coupling with event-driven Javascript	200	With the rise of richer Javascript frameworks, more developers are leveraging the power of the browser to build ever more usable apps. Yet many don't yet appreciate the power this environment affords - event-driven approaches together with service-oriented principles can dramatically reduce coupling across both client and server sides. Join Udi for an in-depth design session taking a regular grid-based UI and decomposing it into loosely-coupled services.
Extending Team Foundation Server... Just Right	200	This session provides a deep-dive into Team Foundation Server and common key extensions that enterprises perform to improve their application lifecycle. Attendees will learn how to overcome common challenges when migrating TFS data and how to perform advanced work item customization, use the TFS plugin model and the new API for Visual Studio Online. Along the way we will share tips and proven practices. Attendees will also gain insight to the effort and costs involved with extending TFS and when it is appropriate and valuable to do so.
.NET compiler Platform "Roslyn" Code Analysis	200	This talk provides a quick introduction to the code analysis APIs that the current Roslyn CTP exposes. We will cover a few code demos showcasing the APIs and how easy it is to start creating your own refactorings and code analyzers.
The Real Time Web with ASP.NET SignalR	200	The days of your web site just responding to requests as they have done for twenty years now are over.  SignalR is the foundation towards a modern web where servers and clients communicate in real time.  This opens up the scenarios you've seen in demo after demo: the chat app.  But so much more is possible now!  Join Chris as he walks you through the basics of how easy it is to use SignalR.  But then take a step further into advanced scenarios that show how you can use this framework to deliver real-time data updates of status, simulations, games and much more.  Your clients update as the changes happen.  SignalR is amazing because you can host it in trusty IIS or in the cloud with Azure, or ANYWHERE thanks to self-hosting.  Once you open your mind to self-hosting, many interesting possibilities open up.  SignalR is amazing because of it's support for many clients besides your web browser.  With .NET, Android, and iOS support, true multiplatform networking is possible.  It works.  It's awesome.  A good working knowledge of building ASP.NET applications with C# is a great foundation for this talk.  Some basic understanding of JavaScript in the client is helpful as well.
